Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Hampshire,US,8/20/2020 4:30,43.4525,-71.5639,7036,427,6347,262,33,517.462902,188009,712,6.068789085,84000033,USA,13827.12944,10.11938601
New Jersey,US,8/20/2020 4:30,40.2989,-74.521,188427,15926,33451,139050,34,2121.402492,2557712,22311,8.452079585,84000034,USA,28795.96136,11.84065978
New Mexico,US,8/20/2020 4:30,34.8405,-106.2485,23749,729,10976,12044,35,1132.615011,688495,3002,3.069602931,84000035,USA,32835.05713,12.64053223
New York,US,8/20/2020 4:30,42.1657,-74.9481,427202,32865,74328,320009,36,2196.009255,7272403,89995,7.693081961,84000036,USA,37383.40245,21.06614669
North Carolina,US,8/20/2020 4:30,35.6301,-79.8064,147925,2431,127749,17745,37,1410.410138,1978094,,1.643400372,84000037,USA,18860.39433,
North Dakota,US,8/20/2020 4:30,47.5289,-99.784,8968,130,7629,1209,38,1176.807136,182526,478,1.449598573,84000038,USA,23951.59449,5.330062444
Northern Mariana Islands,US,8/20/2020 4:30,15.0979,145.6739,54,2,29,23,69,97.9254316,12920,4,3.703703704,580,MNP,23429.56623,7.407407407
Ohio,US,8/20/2020 4:30,40.3888,-82.7649,110881,3907,90436,16538,39,948.5845788,1888470,12529,3.52359737,84000039,USA,16155.82038,11.29950127
Oklahoma,US,8/20/2020 4:30,35.5653,-96.9289,49923,699,42047,7177,40,1261.646851,782740,4192,1.400156241,84000040,USA,19781.29231,8.396931274
Oregon,US,8/20/2020 4:30,44.572,-122.0709,23870,408,4468,18994,41,565.9433009,501156,1958,1.709258483,84000041,USA,11882.10645,8.202764977
Pennsylvania,US,8/20/2020 4:30,40.5908,-77.2098,130905,7508,99657,23740,42,1022.53642,1494467,,5.735457011,84000042,USA,11673.70945,
Puerto Rico,US,8/20/2020 4:30,18.2208,-66.5901,27934,356,,27578,72,952.2712149,333906,,1.274432591,630,PRI,11382.86935,
Rhode Island,US,8/20/2020 4:30,41.6809,-71.5118,20795,1027,2013,17755,44,1962.975794,440127,2419,4.938687184,84000044,USA,41546.46055,11.63260399
South Carolina,US,8/20/2020 4:30,33.8569,-80.945,108411,2360,45205,60846,45,2105.593746,884128,7146,2.176900868,84000045,USA,17171.82193,6.591582035
South Dakota,US,8/20/2020 4:30,44.2998,-99.4388,10566,155,9189,1222,46,1194.358504,131047,935,1.466969525,84000046,USA,14813.27834,8.849138747
Tennessee,US,8/20/2020 4:30,35.7478,-86.6923,137800,1452,99085,37263,47,2017.813575,1928954,6069,1.053701016,84000047,USA,28245.78785,4.404208999
Texas,US,8/20/2020 4:30,31.0545,-97.5635,574633,10934,424685,139014,48,1981.774584,4517189,,1.902779687,84000048,USA,15578.72651,
Utah,US,8/20/2020 4:30,40.15,-111.8624,47521,377,38883,8261,49,1482.271446,610362,2832,0.793333474,84000049,USA,19038.36544,5.95947055
Vermont,US,8/20/2020 4:30,44.0459,-72.7107,1533,58,1354,121,50,245.6774078,113897,,3.783431181,84000050,USA,18253.04613,
Virgin Islands,US,8/20/2020 4:30,18.3358,-64.8963,828,9,584,235,78,771.8984226,13345,,1.086956522,850,VIR,12440.80248,
Virginia,US,8/20/2020 4:30,37.7693,-78.17,109019,2410,13989,92620,51,1277.239263,1407015,15232,2.210623836,84000051,USA,16484.23488,13.97187646
Washington,US,8/20/2020 4:30,47.4009,-121.4905,68689,1822,,66867,53,902.034999,1018371,6358,2.65253534,84000053,USA,13373.41181,9.256212785
West Virginia,US,8/20/2020 4:30,38.4912,-80.9545,8807,166,6909,1732,54,491.4217416,369724,,1.884864312,84000054,USA,20630.22732,
Wisconsin,US,8/20/2020 4:30,44.2685,-89.6165,67493,1060,58244,8189,55,1159.188752,1156297,5430,1.57053324,84000055,USA,19859.34061,8.04527877
