price,neighbourhood,latitude,longitude,room_type,availability_365
125,Bayou St. John,29.97498035,-90.07959017,Entire home/apt,180
250,Bayou St. John,29.97249143,-90.08975366,Entire home/apt,327
200,Bayou St. John,29.97303213,-90.08240093,Entire home/apt,204
150,Bayou St. John,29.97273617,-90.0819457,Entire home/apt,339
400,Bayou St. John,29.97487819,-90.08273845,Entire home/apt,15
250,Bayou St. John,29.97496442,-90.0823934,Entire home/apt,365
110,Bayou St. John,29.9765517,-90.08702435,Entire home/apt,166
99,Bayou St. John,29.97425371,-90.08216927,Entire home/apt,63
165,Bayou St. John,29.9749981,-90.08531932,Entire home/apt,0
160,Bayou St. John,29.97541414,-90.0856578,Entire home/apt,184
69,Bayou St. John,29.97713192,-90.08029679,Private room,364
1000,Bayou St. John,29.97700634,-90.0810221,Entire home/apt,343
180,Bayou St. John,29.9740976,-90.0874396,Entire home/apt,272
120,Bayou St. John,29.97638472,-90.08691071,Entire home/apt,315
200,Bayou St. John,29.9742475,-90.08152521,Entire home/apt,90
125,Bayou St. John,29.97488387,-90.08924656,Entire home/apt,362
150,Bayou St. John,29.97198486,-90.08796015,Entire home/apt,0
296,Bayou St. John,29.97206416,-90.08991459,Entire home/apt,311
149,Bayou St. John,29.97451221,-90.08224716,Entire home/apt,184
150,Bayou St. John,29.9732548,-90.08691257,Entire home/apt,277
148,Bayou St. John,29.97670627,-90.08502882,Entire home/apt,22
500,Bayou St. John,29.97646255,-90.087027,Entire home/apt,0
550,Bayou St. John,29.97364841,-90.08546968,Entire home/apt,364
130,Bayou St. John,29.97648604,-90.08491749,Entire home/apt,88
200,Bayou St. John,29.9756732,-90.08743331,Entire home/apt,364
295,Bayou St. John,29.97468719,-90.0840551,Entire home/apt,180
103,Bayou St. John,29.97381456,-90.08715285,Entire home/apt,0
265,Bayou St. John,29.97298079,-90.08872474,Entire home/apt,365
375,Bayou St. John,29.97634763,-90.08734966,Entire home/apt,365
150,Bayou St. John,29.98036913,-90.08587354,Entire home/apt,281
100,Bayou St. John,29.97548168,-90.08437391,Private room,308
80,Bayou St. John,29.98171352,-90.08675609,Entire home/apt,72
45,Bayou St. John,29.97137286,-90.08346232,Private room,360
60,Bayou St. John,29.97266333,-90.08721463,Private room,362
65,Bayou St. John,29.97043343,-90.0835326,Private room,365
300,Bayou St. John,29.97560824,-90.08984438,Entire home/apt,35
125,Bayou St. John,29.97710782,-90.08211316,Entire home/apt,335
65,Bayou St. John,29.97126609,-90.08397393,Private room,365
45,Bayou St. John,29.97096706,-90.08473904,Private room,365
45,Bayou St. John,29.96939351,-90.08530776,Private room,359
95,Bayou St. John,29.98056219,-90.08692901,Entire home/apt,118
55,Bayou St. John,29.97054545,-90.0839696,Private room,365
85,Bayou St. John,29.97432085,-90.08153928,Entire home/apt,332
50,Bayou St. John,29.96970792,-90.08511452,Private room,365
100,Bayou St. John,29.97238975,-90.08666031,Private room,82
120,Bayou St. John,29.97750122,-90.08159206,Entire home/apt,167
240,Bayou St. John,29.97523186,-90.07900181,Private room,245
75,Bayou St. John,29.97042896,-90.08585584,Private room,365
85,Bayou St. John,29.97438973,-90.08501284,Private room,359
85,Bayou St. John,29.97554357,-90.08612788,Private room,359
189,Bayou St. John,29.97653418,-90.08129719,Private room,298
140,Bayou St. John,29.97427104,-90.08561437,Private room,73
189,Bayou St. John,29.97622839,-90.08063276,Private room,301
117,Bayou St. John,29.97697735,-90.08608158,Private room,365
200,Bayou St. John,29.97310325,-90.08768902,Private room,0
150,Bayou St. John,29.97009169,-90.08589397,Entire home/apt,348
80,Bayou St. John,29.9778645,-90.08393819,Entire home/apt,365
189,Bayou St. John,29.9764738,-90.08107581,Private room,312
80,Bayou St. John,29.9707273,-90.08551485,Private room,365
55,Bayou St. John,29.97139998,-90.08344759,Private room,365
750,Bayou St. John,29.97833718,-90.0834729,Entire home/apt,365
140,Bayou St. John,29.97347332,-90.08181855,Entire home/apt,61
74,Bayou St. John,29.97292376,-90.08258514,Entire home/apt,89
200,Bayou St. John,29.9783052,-90.08158131,Entire home/apt,365
100,Bayou St. John,29.97245468,-90.08893186,Entire home/apt,352
200,Bayou St. John,29.97459666,-90.09007475,Entire home/apt,13
80,Bayou St. John,29.97101076,-90.08405092,Private room,365
150,Bayou St. John,29.97630112,-90.08616441,Entire home/apt,275
59,Bayou St. John,29.97522347,-90.08084232,Private room,180
110,Bayou St. John,29.97725682,-90.08382594,Entire home/apt,78
80,Bayou St. John,29.96924045,-90.08537377,Private room,365
140,Bayou St. John,29.97569664,-90.08430122,Entire home/apt,210
189,Bayou St. John,29.97682481,-90.07960439,Private room,295
175,Bayou St. John,29.97362601,-90.08109494,Entire home/apt,326
275,Bayou St. John,29.97611982,-90.08195937,Entire home/apt,0
49,Bayou St. John,29.97677342,-90.08227604,Private room,180
140,Bayou St. John,29.97841046,-90.08295733,Entire home/apt,275
85,Bayou St. John,29.9752927,-90.07905472,Entire home/apt,350
143,Bayou St. John,29.97591982,-90.08924407,Entire home/apt,0
99,Bayou St. John,29.97529655,-90.08288079,Entire home/apt,344
450,Bayou St. John,29.97314695,-90.08324527,Entire home/apt,0
75,Bayou St. John,29.97539228,-90.08000345,Private room,0
100,Bayou St. John,29.97310079,-90.08707875,Entire home/apt,319
80,Bayou St. John,29.97241981,-90.08925401,Private room,139
150,Bayou St. John,29.97232027,-90.0822692,Shared room,364
180,Bayou St. John,29.97521234,-90.08177346,Entire home/apt,363
90,Bayou St. John,29.9770392,-90.08432899,Entire home/apt,71
95,Bayou St. John,29.97555989,-90.08457105,Entire home/apt,0
120,Bayou St. John,29.9732474,-90.08374496,Entire home/apt,363
29,Bayou St. John,29.97265605,-90.08577166,Private room,146
99,Bayou St. John,29.97437605,-90.08516912,Entire home/apt,48
90,Bayou St. John,29.97727406,-90.08136685,Entire home/apt,296
55,Bayou St. John,29.97038389,-90.08408681,Private room,361
125,Bayou St. John,29.97147467,-90.08722833,Entire home/apt,351
125,Bayou St. John,29.97164321,-90.08806775,Private room,88
400,Bayou St. John,29.97570248,-90.08902698,Entire home/apt,0
125,Bayou St. John,29.97694811,-90.08207255,Entire home/apt,172
58,Bayou St. John,29.97502718,-90.08063869,Private room,25
139,Bayou St. John,29.97426453,-90.08294547,Entire home/apt,160
75,Bayou St. John,29.97789935,-90.08792341,Entire home/apt,345
300,Bayou St. John,29.97300836,-90.08092764,Entire home/apt,46
50,Bayou St. John,29.97049139,-90.08394506,Private room,365
220,Bayou St. John,29.97830849,-90.08257071,Entire home/apt,365
100,Bayou St. John,29.97733072,-90.08364486,Entire home/apt,299
75,Bayou St. John,29.97694817,-90.08350154,Entire home/apt,0
250,Bayou St. John,29.97684893,-90.08107842,Private room,295
300,Bayou St. John,29.97609693,-90.07937012,Private room,239
50,Bayou St. John,29.97725662,-90.08256133,Entire home/apt,0
308,Bayou St. John,29.97592787,-90.08053583,Entire home/apt,131
100,Bayou St. John,29.97501848,-90.08054269,Private room,352
600,Bayou St. John,29.9773056,-90.08241505,Private room,365
300,Bayou St. John,29.97802379,-90.08141074,Private room,302
125,Bayou St. John,29.97671302,-90.07947624,Entire home/apt,365
350,Bayou St. John,29.97916036,-90.08401069,Entire home/apt,340
200,Bayou St. John,29.9760639,-90.08720667,Private room,0
125,Bayou St. John,29.97187563,-90.08298119,Entire home/apt,307
50,Bayou St. John,29.97365308,-90.08550309,Private room,335
110,Bayou St. John,29.97739451,-90.08769597,Entire home/apt,153
150,Bayou St. John,29.97267352,-90.08578513,Entire home/apt,360
115,Bayou St. John,29.97754379,-90.08540422,Entire home/apt,362
700,Bayou St. John,29.97682712,-90.08433919,Entire home/apt,0
125,Bayou St. John,29.97818229,-90.08657777,Entire home/apt,352
200,Bayou St. John,29.97535131,-90.08116876,Entire home/apt,90
250,Bayou St. John,29.97547623,-90.08480049,Entire home/apt,0
221,Bayou St. John,29.97389536,-90.08863059,Entire home/apt,358
100,Bayou St. John,29.97485064,-90.08032512,Entire home/apt,356
125,Bayou St. John,29.97687911,-90.08783368,Entire home/apt,343
198,Bayou St. John,29.97567363,-90.08302673,Entire home/apt,365
85,Bayou St. John,29.97365694,-90.08668583,Private room,359
70,Bayou St. John,29.97087634,-90.08374627,Private room,351
675,Bayou St. John,29.97592088,-90.08799931,Entire home/apt,0
80,Bayou St. John,29.9691575,-90.08525358,Private room,365
79,Bayou St. John,29.97319569,-90.08406546,Entire home/apt,38
125,Bayou St. John,29.97400439,-90.08524528,Entire home/apt,42
85,Bayou St. John,29.97405447,-90.08505997,Private room,359
85,Bayou St. John,29.97780552,-90.08779557,Entire home/apt,0
450,Bayou St. John,29.97675788,-90.07922964,Entire home/apt,157
280,Bayou St. John,29.97385742,-90.08298086,Entire home/apt,353
295,Bayou St. John,29.9795598,-90.08481965,Entire home/apt,351
60,Black Pearl,29.9352027,-90.13141736,Entire home/apt,120
300,Black Pearl,29.93718759,-90.1323865,Entire home/apt,0
198,Black Pearl,29.93893718,-90.13005557,Entire home/apt,0
55,Black Pearl,29.93715744,-90.1316306,Entire home/apt,365
325,Black Pearl,29.94047996,-90.13317094,Entire home/apt,364
675,Black Pearl,29.94067527,-90.13451972,Entire home/apt,289
35,Black Pearl,29.94020417,-90.13301894,Private room,364
85,Black Pearl,29.93919568,-90.12981711,Entire home/apt,209
88,Black Pearl,29.93777243,-90.13133906,Entire home/apt,322
68,Black Pearl,29.93790202,-90.12934383,Entire home/apt,112
85,Black Pearl,29.93805874,-90.13155224,Private room,306
39,Black Pearl,29.93626557,-90.13159852,Private room,336
135,Black Pearl,29.94009222,-90.13306076,Private room,362
85,Black Pearl,29.93996447,-90.13262341,Entire home/apt,345
54,Black Pearl,29.9353311,-90.13081313,Private room,2
55,Black Pearl,29.93897072,-90.13288566,Entire home/apt,328
275,Black Pearl,29.93851203,-90.13329747,Entire home/apt,0
175,Black Pearl,29.9367128,-90.13269611,Entire home/apt,317
120,Black Pearl,29.93836383,-90.13239743,Entire home/apt,365
110,Black Pearl,29.93849742,-90.12900917,Entire home/apt,213
150,Black Pearl,29.93952628,-90.13037349,Entire home/apt,89
115,Black Pearl,29.93334268,-90.13528413,Entire home/apt,365
500,Black Pearl,29.94005227,-90.13158107,Entire home/apt,363
130,Black Pearl,29.93757435,-90.13327633,Entire home/apt,327
450,Black Pearl,29.93722737,-90.13266171,Private room,365
600,Black Pearl,29.93998024,-90.13230521,Entire home/apt,0
125,Broadmoor,29.94211839,-90.10064434,Entire home/apt,365
140,Broadmoor,29.94641389,-90.10636917,Entire home/apt,61
95,Broadmoor,29.9456823,-90.10341544,Entire home/apt,250
85,Broadmoor,29.94515712,-90.10751178,Entire home/apt,71
55,Broadmoor,29.9475044,-90.10250279,Private room,320
60,Broadmoor,29.94358772,-90.1066343,Private room,180
102,Broadmoor,29.94788268,-90.10676533,Entire home/apt,175
105,Broadmoor,29.95295337,-90.10646058,Entire home/apt,365
120,Broadmoor,29.94343344,-90.10607156,Entire home/apt,337
85,Broadmoor,29.94764674,-90.10160352,Private room,73
600,Broadmoor,29.94172477,-90.10697224,Entire home/apt,0
190,Broadmoor,29.95236412,-90.10551375,Entire home/apt,243
125,Broadmoor,29.94319134,-90.09820426,Entire home/apt,365
525,Broadmoor,29.94537577,-90.10572044,Entire home/apt,153
150,Broadmoor,29.94071914,-90.09955524,Entire home/apt,364
150,Broadmoor,29.94236907,-90.10301603,Entire home/apt,358
80,Broadmoor,29.95044369,-90.1046933,Private room,0
600,Broadmoor,29.94263007,-90.10144363,Entire home/apt,293
187,Broadmoor,29.94850398,-90.10579586,Entire home/apt,357
100,Broadmoor,29.94488168,-90.10867898,Entire home/apt,0
99,Broadmoor,29.94992787,-90.10776712,Entire home/apt,356
30,Broadmoor,29.95322189,-90.10507701,Private room,62
79,Broadmoor,29.94850829,-90.10298477,Entire home/apt,342
65,Broadmoor,29.94466449,-90.10614924,Private room,355
60,Broadmoor,29.94682468,-90.09945081,Private room,90
225,Broadmoor,29.9470443,-90.09972022,Entire home/apt,83
75,Broadmoor,29.94268287,-90.10453309,Private room,365
49,Broadmoor,29.9437586,-90.10218478,Private room,365
99,Broadmoor,29.94273864,-90.10779831,Entire home/apt,356
160,Broadmoor,29.94785211,-90.10335475,Entire home/apt,347
60,Broadmoor,29.94625487,-90.10056356,Private room,347
400,Broadmoor,29.95067532,-90.10598444,Entire home/apt,0
88,Broadmoor,29.94177586,-90.10524173,Entire home/apt,352
75,Broadmoor,29.95314328,-90.10685949,Entire home/apt,313
37,Broadmoor,29.94686998,-90.10716464,Private room,173
95,Broadmoor,29.9434016,-90.10670786,Entire home/apt,110
69,Broadmoor,29.94729412,-90.10253126,Entire home/apt,102
60,Broadmoor,29.94649626,-90.09977122,Private room,342
